1117;Klaudia
1118;Eugen
1119;Alžbeta
1120;Félix
1121;Elvíra
1122;Cecília
1123;Klement
1124;Emília
1125;Katarína
1126;Agnesa
1127;Milan
1128;Henrieta
1129;Vratko
1130;Andrej, Ondrej
1201;Edmund
1202;Bibiána
1203;Oldrich
1204;Barbora
1205;Oto
1206;Mikuláš
1207;Ambróz
1208;Marína
1209;Izabela
1210;Radúz
1211;Hilda
1212;Otília
1213;Lucia
1214;Branislava, Bronislava
1215;Ivica
1216;Albína
1217;Kornélia
1218;Sláva
1219;Judita
1220;Dagmara
1221;Bohdan
1222;Adela
1223;Nadežda
1224;Adam, Eva
1225;-
1226;Albína
1227;Filoména
1228;Ivana, Ivona
1229;Milada
1230;Dávid
1231;Silvester
