0101;Fruzsina
0102;Ábel
0103;Benjámin, Genovéva
0104;Leona, Titusz
0105;Simon
0106;Boldizsár
0107;Attila, Ramóna
0108;Gyöngyvér
0109;Marcell
0110;Melánia
0111;Ágota
0112;Ernő
0113;Veronika
0114;Bódog
0115;Loránd, Lóránt
0116;Gusztáv
0117;Antal, Antónia
0118;Piroska
0119;Sára, Márió
0120;Fábián, Sebestyén
0121;Ágnes
0122;Artúr, Vince
0123;Rajmund, Zelma
0124;Timót
0125;Pál
0126;Paula, Vanda
0127;Angelika
0128;Károly, Karola
0129;Adél
0130;Gerda, Martina
0131;Ágnes
0201;Ignác
0202;Karolina, Aida
0203;Balázs
0204;Ráhel, Csenge
0205;Ágota, Ingrid
0206;Dóra, Dorottya
0207;Rómeó, Tódór
0208;Aranka
0209;Abigél, Alex
0210;Elvira
0211;Bertold, Marietta
0212;Lídia, Lívia
0213;Ella, Linda
0214;Bálint, Valentin
0215;Georgina, Kolos
0216;Julianna, Lilla
0217;Donát
0218;Bernadett
0219;Zsuzsanna
0220;Aladár, Álmos
0221;Eleonóra
0222;Gerzson
0223;Alfréd
0224;Szökőnap
0225;Mátyás
0226;Géza
0227;Edina
0228;Ákos, Bátor
0229;Elemér
0301;Aladár, Álmos
0302;Lujza
0303;Kornélia
0304;Kázmér
0305;Adorján, Adrián
0306;Leonóra, Inez
0307;Tamás
0308;Zoltán
0309;Franciska, Fanni
0310;Ildikó
0311;Szilárd
0312;Gergely
0313;Krisztián, Ajtony
0314;Matild
0315;Kristóf
0316;Henrietta
0317;Gertrúd, Patrik
0318;Sándor, Ede
0319;József, Bánk
0320;Klaudia,
0321;Benedek
0322;Beáta, Izolda, Lea
0323;Emőke
0324;Gábor, Karina
0325;Irén, Írisz
0326;Emánuel
0327;Hajnalka
0328;Gedeon, Johanna
0329;Auguszta
0330;Zalán
0331;Árpád
0401;Hugó
0402;Áron
0403;Buda, Richárd
0404;Izidor
0405;Vince
0406;Vilmos, Bíborka
0407;Herman
0408;Dénes
0409;Erhard
0410;Zsolt
0411;Leó, Szaniszló
0412;Gyula
0413;Ida
0414;Tibor
0415;Anasztázia, Tas
0416;Csongor
0417;Rudolf
0418;Andrea, Ilma
0419;Emma
0420;Tivadar
0421;Konrád
0422;Csilla, Noémi
0423;Béla
0424;György
0425;Márk
0426;Ervin
0427;Zita
0428;Valéria
0429;Péter
0430;Katalin, Kitti
0501;Fülöp, Jakab
0502;Zsigmond
0503;Tímea, Irma
0504;Mónika, Flórián
0505;Györgyi
0506;Frida, Ivett
0507;Gizella
0508;Mihály
0509;Gergely
0510;Katalin, Kitti
0511;Ferenc
0512;Pongrác
0513;Szervác, Imola
0514;Bonifác
0515;Zsófia, Szonja
0516;Botond, Mózes
0517;Paszkál
0518;Erik, Alexandra
0519;Ivó, Milán
0520;Bernát, Felícia
0521;Konstantin
0522;Júlia, Rita
0523;Dezső
0524;Eszter, Eliza
0525;Orbán
0526;Evelin, Fülöp
0527;Hella
0528;Emil, Csanád
0529;Magdolna
0530;Janka, Zsanett
0531;Angéla, Petronella
0601;Tünde
0602;Anita, Kármen
0603;Klotild, Cecília
0604;Bulcsú
0605;Fatime, Fatima
0606;Norbert, Cintia
0607;Róbert
0608;Medárd
0609;Janka, Zsanett
0610;Margit, Gréta
0611;Barnabás
0612;Villő
0613;Antal, Anett
0614;Vazul
0615;Jolán, Vid
0616;Jusztin
0617;Laura, Alida
0618;Arnold, Levente
0619;Gyárfás
0620;Rafael
0621;Alajos, Leila
0622;Paulina
0623;Zoltán
0624;Iván
0625;Vilmos
0626;János, Pál
0627;László
0628;Levente, Irén
0629;Péter, Pál
0630;Pál
0701;Tihamér, Annamária
0702;Ottó
0703;Kornél, Soma
0704;Ulrik
0705;Emese, Sarolta
0706;Csaba
0707;Apollónia
0708;Ellák
0709;Lukrécia
0710;Amália
0711;Nóra, Lili
0712;Dalma, Izabella
0713;Jenő
0714;Örs, Stella
0715;Henrik, Roland
0716;Valter
