1935;7;6;Dalai Lama
1887;7;7;Mark Chagall
1838;7;8;Ferdinand Zeppelin
1956;7;9;Tom Hanks
1509;7;10;Kálvin János
1863;7;11;Arany Dániel
1884;7;12;Amedeo Modigliani
1944;7;13;Rubik Ernô
1918;7;14;Ingmar Bergman
1606;7;15;Rembrandt
1872;7;16;Roald Amundsen
1925;7;17;Nagy László
1918;7;18;Nelson Mandela
1834;7;19;Degas
1895;7;20;Moholy-Nagy László
1899;7;21;Ernest Hemingway
1755;7;22;Martinovics Ignác
1863;7;23;Bródy Sándor
1802;7;24;Alexandre Dumas
1722;7;25;Fellner Jakab
1943;7;26;Mick Jagger
1775;7;27;Brunszvik Teréz
1945;7;28;Jim Davis
1871;7;29;Raszputyin
1730;7;30;Jelky András
1527;7;31;I. Miksa
1936;8;1;Yves Saint-Laurent
1949;8;2;Farkas Bertalan
1952;8;3;Másik János
1901;8;4;Louis Armstrong
1844;8;5;Ilja Repin
1881;8;6;Alexander Flemming
1876;8;7;Margarete Gertrud Zelle
1790;8;8;Kölcsey Ferenc
1795;8;9;Dukai Takács Judit
1947;8;10;Ian Anderson
1871;8;11;Heltay Jenô
1954;8;12;Pat Metheny
1921;8;13;Sarkadi Imre
1913;8;14;Borsos Miklós
1890;8;15;Hunyady Sándor
1928;8;16;Juhász Ferenc
1854;8;17;Lechner Ödön
1903;8;18;Roman Polanski
1957;8;19;Sebestyén Márta
1944;8;20;Knézy Jenô
1904;8;21;Count Basie
1862;8;22;Claude Debussy
1877;8;23;Medgyasszai István
1899;8;24;Jorge Luis Borges
1530;8;25;Rettegett Iván
1880;8;26;Guillaume Apollinaire
1966;8;27;René Higuita
1749;8;28;Goethe
1908;8;29;Robert Merle
1733;8;30;Pollack Mihály
1949;8;31;Richard Gere
1872;9;1;Léda
1811;9;2;Heckenast Gusztáv
1875;9;3;Ferdinand Porsche
1927;9;4;Sánta Ferenc
1638;9;5;XIV. Lajos
1757;9;6;Marquis de Lafayette
1603;9;7;I. Erzsébet
1850;9;8;Blaha Lujza
1585;9;9;Richelieu bíboros
1882;9;10;Gellért Oszkár
1892;9;11;Pinto Colvig (pluto goofy)
1913;9;12;Jesse Owens
1942;9;13;Károlyi Béla
1732;9;14;Joseph Haydn
1789;9;15;J. F. Cooper
1893;9;16;Szent-Györgyi Albert
1836;9;17;Pátzay Pál
1905;9;18;Greta Garbo
1911;9;19;Golding
1741;9;20;Benyovszky Móric
1928;9;21;Sinkovits Imre
1910;9;22;Faludi György
1930;9;23;Ray Charles
1900;9;24;Khomeini Ajatollah
1881;9;25;Pablo Picasso
1888;9;26;T. S. Eliot
1921;9;27;Jancsó Mikós
1573;9;28;Caravaggio
1547;9;29;Cervantes
1859;9;30;Benedek Elek
1903;10;1;Horowitz
1942;10;2;Váli Dezsô
1897;10;3;Louis Aragon
1895;10;4;Szergej Jeszenyin
1936;10;5;Vaclav Havel
1887;10;6;Le Corbusier
1885;10;7;Niels Bohr
1839;10;8;Pege Aladár
1940;10;9;John Lennon
1813;10;10;Guiseppe Verdi
1962;10;11;Szôke András
1953;10;12;Parti Nagy Lajos
1676;10;13;Apafi Mihály
1827;10;14;Zichy Mihály
1923;10;15;Italo Calvino
1927;10;16;Günter Grass
1803;10;17;Deák Ferenc
1894;10;18;Déry Tibor
1862;10;19;Auguste Lumiére
1854;10;20;Arthur Rimbaud
1878;10;21;Krúdy Gyula
1811;10;22;Liszt Ferenc
1940;10;23;Pelé
1882;10;24;Kálmán Imre
1825;10;25;ifj. Johann Strauss
1854;10;26;Déry Miksa
1880;10;27;Hatvany Lajos
1903;10;28;Ewelyn Waugh
1839;10;29;Steindl Imre
1960;10;30;Maradona
1832;10;31;Vermeer
1494;11;1;Teleki Sámuel
1814;11;2;Ignotus
1913;11;3;Jankovics Marcell
1935;11;4;Soproni József
1853;11;5;Hans Sachs
1888;11;6;Adolphe Sax
1821;11;7;Albert Camus
1840;11;8;Alain Delon
1895;11;9;Pulszky Károly
1856;11;10;A. N. Tupolev
1620;11;11;F. M. Dosztojevszkij
1922;11;12;Auguste Rodin
1790;11;13;Bernáth Aurél
1889;11;14;W. A. Mozart
1841;11;15;C. Bega
1912;11;16;José Saramago
1694;11;17;Möbius
1877;11;18;Tildy Zoltán
1920;11;19;Schulek Frígyes
1902;11;20;Habsburg Ottó
1562;11;21;Voltaire
1883;11;22;Ady Endre
1921;11;23;Paul Celan
1925;11;24;Latabár Kálmán
1803;11;25;Lope de Vega (6:3)
1874;11;26;Babits Mihály
1935;11;27;Pilinszky János
1981;11;28;Bozsik József
1903;11;29;Christian Doppler 
1875;11;30;Winston Churchill
1935;12;1;Woody Allen
1981;12;2;Britney Spears
1903;12;3;Neumann János
1875;12;4;Rainer Marie Rilke
1901;12;5;Walt Disney
1920;12;6;Dave Brubeck
1761;12;7;Madame Tussaud
1938;12;8;Jim Morrison
1984;12;9;Garas Dezsô
1827;12;10;Korányi Frigyes
180;12;11;Hector Berlioz
1951;12;12;Müller Péter Iván
1953;12;13;Magyar Zoltán
1830;12;14;Madarász Viktor
1882;12;15;Gustave Eiffel
1951;12;16;Waszlavik Gazember
1770;12;17;Beethoven
1879;12;18;Paul Klee
1950;12;19;Tímár Péter
1946;12;20;Uri Geller
1921;12;21;Heinrich Böll
1943;12;22;Petri György
1889;12;23;Kmetty János
1856;12;24;Feszty Árpád
1883;12;25;Utrillo
1865;12;26;Róth Miksa
1571;12;27;Johannes Kepler
1756;12;28;Ányos Pál
1721;12;29;Pompadour
1796;12;30;Wesselényi
1927;12;31;Rutkai Éva
