1919;1;1;J. D. Salinger
1922;1;2;Nemes Nagy Ágnes
1950;1;3;Ef. Zámbó István
1809;1;4;Louis Braille
1900;1;5;Yves Tanguy
1766;1;6;Fazekas Mihály
1926;1;7;Szász Endre
1935;1;8;Elvis Presley
1890;1;9;Karel Capek
1947;1;10;Sebô Ferenc
1880;1;11;Jedlik Ányos
1878;1;12;Molnár Ferenc
1381;1;13;Assisi Szent Klára
1946;1;14;Nagy Feró
1943;1;15;Jordán Tamás
1847;1;16;Mikszáth Kálmán
1706;1;17;Benjamin Franklin
1907;1;18;Ferencsik János
1839;1;19;Paul Cézanne
1920;1;20;Frederico Fellini
1828;1;21;Madách Imre
1943;1;22;Cseh Tamás
1898;1;23;Széchenyi Zsigmond
1884;1;24;Gábor Andor
1946;1;25;Bereményi Géza
1905;1;26;Tamkó Sirató Károly
1756;1;27;W. A. Mozart
1948;1;28;Kern András
1899;1;29;Páger Antal
1933;1;30;Richard Brautigan
1902;1;31;Jávor Pál
1878;2;1;Hajós Alfréd
1882;2;2;James Joyce
1930;2;3;Csoóri Sándor
1902;2;4;Charles A Lindbergh
1922;2;5;Szepesi György
1665;2;6;Béri Balogh Ádám
1478;2;7;Mórus Tamás
1864;2;8;Mengyelejev
1931;2;9;Thomas Bernhard
1810;2;10;Barabás Miklós
1847;2;11;T. A. Edison
1845;2;12;Gerbaud Emil
1887;2;13;Csáth Géza
1806;2;14;Batthyány Lajos
1564;2;15;Galileo Galilei
1866;2;16;Strauss
1911;2;17;Básti Lajos
1896;2;18;André Breton
1473;2;19;Kopernikusz
1796;2;20;Mészáros Lázár
1609;2;21;Montecuccoli
1900;2;22;Luis Bunuel
1920;2;23;Paul Celan
1750;2;24;Révai Miklós
1847;2;25;Renoir
1802;2;26;Victor Hugo
1902;2;27;John Ernst Steinbeck
1942;2;28;Brian Jones
1860;2;29;Herman Hollerith
1886;3;1;Kokoschka
1859;3;2;Sólem Aléchem
1844;3;3;Gundel János
1947;3;4;Garbarek
1326;3;5;Nagy Lajos
1928;3;6;Garcia Marquez
1924;3;7;Abe Kobo
1963;3;8;Kathy Ireland
1451;3;9;Amerigo Vespucci
1950;3;10;Bobby McFerrin
1842;3;11;Eötvös Károly
1836;3;12;Paulay Ede
1888;3;13;Makarenko
1879;3;14;Albert Einstein
1886;3;15;Egry József
1868;3;16;Makszim Gorkij
1917;3;17;Nat King Cole
1921;3;18;Heine
1888;3;19;Kabos Gyula
1828;3;20;Henrik Ibsen
1685;3;21;J. S. Bach
1946;3;22;Hajdú József
1897;3;23;Hamvas Béla
1874;3;24;Harry Houdini
1881;3;25;Bartók Béla
1926;3;26;Kallós Zoltán
1967;3;27;Kispál András
1914;3;28;Bohumil Hrabal
1885;3;29;Kosztolányi Dezsô
1853;3;30;Vincent Van Gogh
1596;3;31;Rene Descartes
1929;4;1;Milan Kundera
1927;4;2;Puskás Öcsi
1883;4;3;Juhász Gyula
1932;4;4;A. A. Tarkovsky
1912;4;5;Örkény István
1945;4;6;Bob Marley
1431;4;7;Villon
1859;4;8;Edmund Husserl
1821;4;9;Charles Baudlaire
1847;4;10;Pulitzer József
1905;4;11;József Attila
1815;4;12;Rómer Flóris
1970;4;13;Csollány Szilveszter
1950;4;14;Esterházy Péter
1452;4;15;Leonardo da Vinci
1858;4;16;Zala György
1894;4;17;Nyikita Hruscsov
1901;4;18;Német László
1828;4;19;Zsolnay Vilmos
1893;4;20;Joan Miró
1799;4;21;Táncsics Mihály
1916;4;22;Yehudi Menuhin
1775;4;23;J. H. W. Turner
1920;4;24;Zenthe Ferenc
1918;4;25;Ella Fitzgerald
121;4;26;Marcus Aurelius
1935;4;27;ôze Lajos
1794;4;28;Jósika Miklós
1899;4;29;Duke Ellington
1870;4;30;Lehár Ferenc
1901;5;1;Szerb Antal
1660;5;2;Alessandro Scarlatti
1895;5;3;Korda Zoltán
1929;5;4;Audrey Hepburn
1936;5;5;Lázár Ervin
1856;5;6;Sigmund Freud
1776;5;7;Berzsenyi Dániel
1814;5;8;Bakunyin
1912;5;9;Ottlik Géza
1929;5;10;Kányádi Sándor
1904;5;11;Salvador Dali
1950;5;12;Stevie Wonder
1717;5;13;Mária Terézia
1912;5;14;Hegedűs Géza
1891;5;15;Bulgakov
1893;5;16;Szent-Györgyi Albert
1866;5;17;Alfred Erik Satie
1883;5;18;Walter Gropius
1871;5;19;Ligeti Miklós
1799;5;20;Balzac
1471;5;21;Albrecht Dürer
1813;5;22;Richard Wagner
1861;5;23;Ripl-Rónai József
1941;5;24;Bob Dylen
1926;5;25;Miles Davis
1799;5;26;A. Sz. Puskin
1884;5;27;Max Brod
1928;5;28;Szécsi Margit
1874;5;29;G. K. Chesterton
1412;5;30;Jeanne d\'Arc
1819;5;31;Walt Whitman
1926;6;1;Marylin Monroe
1740;6;2;Marquis de Sade
1926;6;3;Allen Ginsberg
1967;6;4;Darnyi Tamás
1898;6;5;Federico García Lorca
1875;6;6;Thomas Mann
1848;6;7;Gauguin
1724;6;8;Maulbertsch
1847;6;9;Haussmann Alajos
1880;6;10;Kaffka Margit
1910;6;11;Jacques-Yves Cousteau
1941;6;12;Chic Corea
1865;6;13;Yeats
1925;6;14;Darvas Iván
1843;6;15;Grieg
1938;6;16;Joyce Carol Oates
1898;6;17;M. C. Escher
1868;6;18;Horthy Miklós
1623;6;19;Blaise Pascal
1819;6;20;Offenbach
1905;6;21;JeanPaul Sartre
1913;6;22;Weöres Sándor
1943;6;23;SzegedyMaszák  
1887;6;24;Karinthy Frigyes
1852;6;25;Antoni Gaudí
1856;6;26;George Bernard Shaw
1941;6;27;Krzysztof Kieslowski
1712;6;28;Jean-Jacques Rousseau
1900;6;29;Antoine de Saint-Exupery
1884;6;30;Szép Ernô
1872;7;1;Louis Blériot
1877;7;2;Herman Hesse
1883;7;3;Franz Kafka
1807;7;4;Garibaldi
1853;7;5;CsontváryKosztka Tivadar
